Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,No. of Matched pairs in CurrBB in front: ,TTC Camera,TTC Lidar,
0,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.4186,1723,0,18.9142,0,0,,,,
1,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.8914,1759,0,19.2918,64.5711,797,61,12,12,
2,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.426,1820,0,20.0541,67.3111,779,59,14,12,
3,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.9195,1850,0,20.4724,71.3918,843,60,62,13,
4,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.3882,1828,0,20.2551,71.8399,792,65,11,7,
5,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.7257,1806,0,20.86,69.6066,817,65,11,16,
6,SHITOMASI,BRISK,MAT_BF,SEL_KNN,14.0652,1877,0,20.8841,69.6992,805,63,11,12,
7,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.1408,1894,0,22.3514,73.4039,780,65,11,34,
8,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.2342,1889,0,20.9914,72.9643,850,67,12,9,
9,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.0712,1917,0,23.7722,75.5507,842,67,10,18,
10,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.0872,1874,0,20.8657,72.9675,832,65,15,18,
11,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.1197,1912,0,20.6908,73.4439,857,64,6,3,
12,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.2529,1930,0,22.063,75.7078,849,79,13,-10,
13,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.7659,1881,0,20.62,75.2179,884,77,55,9,
14,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.889,1886,0,21.5145,74.0061,889,76,0,10,
15,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.8765,1957,0,21.7261,77.5259,906,65,9,8,
16,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.9362,1888,3,20.5755,77.3172,878,65,10,3,
17,SHITOMASI,BRISK,MAT_BF,SEL_KNN,12.8015,1919,0,21.4243,75.8235,914,67,7,-9,
18,SHITOMASI,BRISK,MAT_BF,SEL_KNN,13.0361,2057,38,23.1542,84.9646,960,72,5,8,

0,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.2361,1723,0,15.8331,0,0,,,,
1,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.1092,1759,0,9.56105,53.0129,1148,78,19,12,
2,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.3511,1820,0,10.2746,56.186,1167,90,9,12,
3,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.1996,1850,0,10.6871,58.5761,1221,94,5,13,
4,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.8926,1828,0,9.86057,58.2488,1210,89,3,7,
5,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.6683,1806,0,9.42302,59.4381,1221,87,9,16,
6,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.0125,1877,0,9.87043,55.6387,1155,85,10,12,
7,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.3899,1894,0,11.8346,56.027,1190,96,7,34,
8,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.657,1889,0,11.8692,56.699,1214,100,6,9,
9,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.6725,1917,0,12.2355,58.0248,1205,90,18,18,
10,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.2563,1874,0,10.1817,59.3079,1187,86,9,18,
11,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.1736,1912,0,11.1045,58.2322,1193,80,12,3,
12,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.8061,1930,0,10.1748,59.5536,1239,98,2,-10,
13,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.967,1881,0,10.8394,55.6012,1250,102,13,9,
14,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.0725,1886,0,9.76949,56.4114,1248,92,7,10,
15,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.644,1957,0,11.252,59.44,1262,87,7,8,
16,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.0265,1888,3,10.2045,61.3267,1281,94,6,3,
17,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.3586,1919,0,10.4548,60.057,1270,92,12,-9,
18,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.6578,2057,38,11.9533,62.2305,1320,97,8,8,

0,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.8731,1723,0,9.10939,0,0,,,,
1,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.0635,1759,0,4.31683,52.361,1053,76,11,12,
2,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.0919,1820,0,4.10504,55.1586,1070,76,12,12,
3,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.0342,1850,0,4.78323,57.8709,1116,82,9,13,
4,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.3971,1828,0,4.66945,58.6793,1082,81,13,7,
5,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.4372,1806,0,4.67646,57.1853,1080,86,6,16,
6,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.5807,1877,0,5.27157,54.3041,1042,82,6,12,
7,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.6026,1894,0,4.58006,56.5937,1059,89,6,34,
8,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.9537,1889,0,3.99834,56.022,1085,93,46,9,
9,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.3174,1917,0,4.73217,57.895,1072,82,6,18,
10,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.1586,1874,0,4.13872,56.5503,1050,79,9,18,
11,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.191,1912,0,4.68025,56.4783,1049,79,2,3,
12,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.4849,1930,0,4.91576,58.2417,1099,91,14,-10,
13,SHITOMASI,ORB,MAT_BF,SEL_KNN,12.8961,1881,0,3.99539,56.1995,1109,96,7,9,
14,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.8412,1886,0,5.49632,57.6524,1099,83,8,10,
15,SHITOMASI,ORB,MAT_BF,SEL_KNN,14.4756,1957,0,5.51466,59.9862,1102,81,6,8,
16,SHITOMASI,ORB,MAT_BF,SEL_KNN,13.7643,1888,3,5.45127,60.8207,1135,84,3,3,
17,SHITOMASI,ORB,MAT_BF,SEL_KNN,14.147,1919,0,5.63639,59.9381,1165,90,21,-9,
18,SHITOMASI,ORB,MAT_BF,SEL_KNN,14.0683,2057,38,6.10899,67.1903,1204,92,3,8,

0,SHITOMASI,FREAK,MAT_BF,SEL_KNN,13.9257,1723,0,69.3962,0,0,,,,
1,SHITOMASI,FREAK,MAT_BF,SEL_KNN,13.0748,1759,0,64.5544,57.909,812,60,12,12,
2,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.9567,1820,0,59.8087,59.3527,814,58,13,12,
3,SHITOMASI,FREAK,MAT_BF,SEL_KNN,13.0831,1850,0,63.487,62.8672,878,58,4,13,
4,SHITOMASI,FREAK,MAT_BF,SEL_KNN,13.0236,1828,0,62.3783,62.9113,851,64,17,7,
5,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.9926,1806,0,60.8103,60.0347,874,74,10,16,
6,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.8334,1877,0,61.0705,59.6926,845,66,14,12,
7,SHITOMASI,FREAK,MAT_BF,SEL_KNN,13.0149,1894,0,61.1879,60.8057,831,71,12,34,
8,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.7958,1889,0,60.8064,61.4344,870,68,12,9,
9,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.7116,1917,0,60.6983,62.2881,863,69,45,18,
10,SHITOMASI,FREAK,MAT_BF,SEL_KNN,12.8632,1874,0,63.9795,64.4539,860,65,12,18,
11,SHITOMASI,FREAK,MAT_BF,SEL_KNN,13.2172,1912,0,63.2006,64.1958,861,57,12,3,
12,SHITOMASI,FREAK,MAT_BF,SEL_KNN,13.3019,1930,0,63.7233,66.2703,885,82,10,-10,
